item,qty,sku,approx_usd,buy_url,docs_url,notes
4 in Schedule 40 PVC pipe 10 ft,1,PVC-40-4IN,22.00,https://www.homedepot.com/p/JM-eagle-4-in-x-10-ft-PVC-Schedule-40-DWV-Pipe-54014/100354605,https://secoora.org/wp-content/uploads/sites/default/files/webfm/about/classroom/documents/BOBBuildManual030410.pdf,"SECOORA BOB hull: eight 15 in cuts from one 10 ft stick."
4 in PVC 90° elbow (pack of 10),1,PVC-ELL-4,18.00,https://www.homedepot.com/p/Charlotte-Pipe-4-in-PVC-DWV-90-Degree-Hub-x-Hub-Elbow-PVC-02300-1600/100348460,https://secoora.org/wp-content/uploads/sites/default/files/webfm/about/classroom/documents/BOBBuildManual030410.pdf,"Need 4 for the outer square. Slow-set PVC cement — not instant-grab."
PVC cement + primer,1,OATEY-PRIMER-CEMENT,14.00,https://www.homedepot.com/p/Oatey-8-oz-NSF-Heavy-Duty-Clear-PVC-Cement-and-4-oz-Purple-Primer-Combo-Pack-302244/205750405,https://secoora.org/education-outreach/basic-observation-buoy/,"Vent when gluing."
Marine silicone (neutral cure),1,GE-SILICONE-1,8.00,https://www.homedepot.com/p/GE-2-8-fl-oz-Clear-Silicone-1-Kitchen-and-Bath-Caulk-GE012A/100179668,https://www.homedepot.com/p/GE-2-8-fl-oz-Clear-Silicone-1-Kitchen-and-Bath-Caulk-GE012A/100179668,"Glands and box lid. Neutral cure around electronics."
Screw terminal breakout (0.1 in),1,ADAFRUIT-2711,4.75,https://www.adafruit.com/product/2711,https://www.adafruit.com/product/2711,"Gravity analog cables land here. No custom PCB."
microSD card 16 GB,1,SD-16GB,8.00,https://www.adafruit.com/product/2692,https://github.com/Xinyuan-LilyGO/LilyGo-Modem-Series/blob/main/docs/en/esp32/a7670-esp32/README.MD,"FAT32. Holds config.json + CSV. Remove before USB flash (GPIO2)."
1NCE IoT SIM (or any LTE Cat-1 nano-SIM with data),1,1NCE-SIM,10.00,https://1nce.com/,https://1nce.com/en-us/resources/documentation,"Insert SIM before power-on. APN is in config.json. US coverage: confirm Cat-1 on AT&T/T-Mobile for A7670G bands."
Hanna pH 4.01 / 7.01 / 10.01 buffer kit,1,HI54710,99.99,https://hannainst.com/hi54710.html,https://wiki.dfrobot.com/sen0169-v2/,"3 x 500 mL technical buffers, NIST-traceable (Hanna page). SEN0169-V2 ships some buffers; a fresh pack is better. DFRobot library two-point is 4.0 and 7.0. Street price from hannainst.com 2026-08-12."
DO membrane cap spare,1,SEN0237-MEM,12.00,https://www.dfrobot.com/product-1628.html,https://wiki.dfrobot.com/Gravity__Analog_Dissolved_Oxygen_Sensor_SKU_SEN0237,"Consumable. Filling solution in the kit is 0.5 mol/L NaOH."
Reflective tape + yellow/white hull paint,1,3M-REFLECT,12.00,https://www.homedepot.com/p/3M-1-in-x-36-in-Reflective-Tape-White-RN20103632/202090584,https://myfwc.com/boating/waterway/markers/,"Do not paint the hull red/green like a channel marker."
USB-A to USB-C cable,1,USBA-USBC,8.00,https://www.adafruit.com/product/4472,https://github.com/Xinyuan-LilyGO/LilyGo-Modem-Series/blob/main/docs/en/esp32/a7670-esp32/README.MD,"LilyGO: do not power with USB-C to USB-C. CH9102 driver on first use."
